id;fecha_inicio;fecha_fin;lenguaje
1;2026-03-16T08:46:04;2026-03-17T01:43:12;ESPANOL
2;2026-03-16T07:49:10;2026-03-16T15:50:33;INGLES
3;2026-03-16T08:17:47;2026-03-16T21:05:45;PORTUGUES
4;2026-03-17T02:42:53;2026-03-16T10:11:24;INGLES
5;2026-03-16T20:49:31;2026-03-16T23:31:45;INGLES
6;2026-03-16T09:22:31;2026-03-16T17:53:22;PORTUGUES
7;2026-03-17T03:39:43;2026-03-16T22:15:52;PORTUGUES
8;2026-03-17T03:28:21;2026-03-17T02:08:50;ESPANOL
9;2026-03-17T02:06:24;2026-03-16T10:23:19;PORTUGUES
10;2026-03-16T21:01:13;2026-03-16T14:36:08;PORTUGUES
