id;calle;codigo_postal;ciudad;provincia
1;acclaimed;bah;goodwill orderly rejigger;across
2;selfishly wise;um furthermore suburban;quaff trench upset;failing
3;deceivingly fledgling;pointless zowie likewise;for unless debit;furthermore valiantly buzzing
4;boo up gust;tired;onto blissfully;acquaintance
5;incidentally however;rally if;pity proceed whenever;decisive provision lightly
6;reach amidst yahoo;portly tinderbox youthfully;pish;mechanically
7;puny;in that;at besides;afore confound
8;aha;fooey;monster unless aw;and so soon
9;while;voluntarily excluding freely;mockingly woot capitalize;carboxyl
10;ouch often;intensely uh-huh ride;reflecting when intensely;now
